|bankid|bankname|bankaddress|bankphone|bankdesc|bankurl|searchurl|dtype
10|5|Ann Arbor Reproductive Assoc., P.C./IVF Michigan|4990 W. Clark Rd., Suite 100 Ypsilanti, MI 48197 USA|734-434-4766|See Arbor Park Reproductive also. Part of IVF Michigan, moved to Ann Arbor / Ypsilanti, MI,3145 Clark Rd., Suite 301,Toll free 866-844-2888, IVF Michigan also has locations in Dearborn, MI, Flint, MI, Rochester Hills, MI, Saginaw, MI, and Toledo, OH|http://www.midwestivf.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=5&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
11|919|Arbor Park Reproductive Laboratory (MI)|Ann Arbor, MI USA||Please also add your posting under Ann Arbor Reproductive. These are the same facilities, just with a name change. ||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=919&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
12|1124|Arizona Center for Fertility Studies|8997 East Desert Cove Avenue, 2nd Floor Scottsdale, AZ 85260 USA|480-860-4792|Dr. Jay NemiroRobert W. McGaugheySharon TaylorGina Caiazza|http://acfs2000.com/index.html|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=1124&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
13|65228|ART Medica|, 201 ISL|5158100|||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65228&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
14|227|ARTUS Centre (Royal University Hospital)|103 Hospital Dr. Saskatoon, SK S7N0W8 CAN|306-966-8033|Part of Royal University Hospital, Dept Obstetrics, Gynecology & Reproductive Sciences, College of Medicine|http://www.usask.ca/medicine/obgyn/artus.html|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=227&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
15|1264|Assaf HaRofeh Medical Center|Zeriffin, ISR|972-8-977-9690/1|Male Infertility Institute and Sperm BankHeaded by: Dr. Ariyeh RazielExists since 1992Affiliated with Sackler School of Medicine, TAU|http://www.assafh.org/gynecology/fertility/instituteofmalebank/pages/default.aspx|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=1264&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
16|527|Astarte Lab (AL and FL)|USA||Originally it was in Jacksonville, Alabama and then it moved to Florida||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=527&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
17|144|Atlantic Assisted Rep. Therapies (Halifax, NS)|5980 University Avenue Halifax, NS B3H 4N1 CAN|(902)470-7180||http://www.aart.ca|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=144&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
18|65268|AVA Clinic Riga Latvia|Vilandes street 3 Riga, LVA|||http://avaclinic.lv|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65268&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
19|1205|AVA-Peter|Nevsky pr. 22-24, Saint-Petersburg, Russia, 191186 St.Petersburg, 191186 RUS|+7 812 600 7 812||http://www.avapeter.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=1205&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
20|399|AZ Ctr for Fert /AZ Fert Inst/AZ Sperm Bank|Phoenix, AZ USA|| Arizona Sperm Bank is a division of the Arizona Fertility Institute. 2720 N. 20th Street St. #220 Phoenix, AZ  85006  USA · Dr. Robert Tamis and others. Frann Mortimore - Director for AZ Sperm Bank||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=399&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
21|646|Ballas Medical Office, MO|777 South New Ballas Road St. Louis, MO 63131 USA||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=646&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
22|403|Barnes-Jewish (Washington Univ.)|One Barnes Jewish Hospital Plaza St. Louis, MO 63110 USA|314-747-3000|Division of Reproductive Endocrinology at Washington University School of Medicine|http://www.barnesjewish.org/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=403&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
23|137|Baylor College of Medicine|Houston, TX USA|713-798-8230||http://www.bcm.edu|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=137&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
24|280|Beernink & Beernink|Berkeley, CA USA||"May be the same as ""East Bay Clinic""."||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=280&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
25|235|Beilinson Hospital (Rabin Medical Center)|Petach-Tikva, ISR||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=235&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
26|881|Bennett Fertility Institute (BFI) - OK|3300 NW Expressway Oklahoma City, OK 73112 USA|405-949-6060|Henry G. Bennett, Jr. INTEGRIS Health’s Bennett Fertility Institute (BFI) is located within Baptist Medical Center, Oklahoma City, Oklahoma.|http://www.integris-health.com/INTEGRIS/en-US/Specialties/FertilityInstitute/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=881&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
27|65380|Berkshire OB GYN Associates|Pittsfield, MA USA||Affiliated with Berkshire Medical Center  & U MASS||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65380&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
28|176|Beth Israel Hospital|Brookline Avenue Boston, MA USA||Part of Harvard Medical School. Dr. Alberts and others ran a pilot program in donor insemination from approx. 1960 to the late 1970's.  This hospital merged and is now Beth Israel Deaconess Medical Center, but the merger was long after the death of Dr. Alberts. Also called Boston IVF. Boston IVF/Boston Fertility Lab has a separate listing on this registry, please check that list too. Boston IVF states more than 30,000 babies born since 1986.|http://www.bidmc.harvard.edu/display.asp?node_id=4964|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=176&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
29|1132|Beth Israel Medical Center|16 East 16th Street New York, NY 10003 USA||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=1132&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
30|6|Biogenetics|187 Mill Lane Mountainside, NJ 07092 USA|800-637-7776|also shows some places as in Irvington, NJ. Established in 1980. |http://www.sperm1.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=6&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
31|65235|Birmingham Women's Hospital|GBR||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65235&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
32|65325|Bochner, Stephen & Spirtos, Tanya. (Now Stanford Fert. & Repro. Health)|900 Welch Road Stanford, CA 94304 USA|(650) 498-7911||http://http://www.stanfordchildrens.org/en/service/fertility-and-reproductive-health|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65325&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
33|907|Boston IVF/Boston Fertility Lab|MA 02451 USA|888-300-BIVF (2483)|Affiliated with Harvard Medical School. Donor list is from Boston Fertility Lab. Also see listings under Beth Israel Hospital (on this registry, a separate list). Boston IVF's website states more than 30,000 babies born since 1986. Boston IVF has centers centers in Boston, Concord, Waltham, South Shore, Cambridge and Framingham. They also see patients in New Hampshire, Maine and on Nantucket.Toll free: 888-300-BIVF Waltham Center: 130 Second Ave., Waltham, MA 02451.Boston/Brookline Center: 1 Brookline Place, Suite 302, Boston, MA 02445.South Shore Center: 2300 Crown Colony Drive, Suite 104, Quincy, MA 02169.Concord Center: Emerson Hospital, 54 Baker Avenue Ext., Suite 302, Concord, MA 01742.Worcester Center: 123 Summer Street, Suite 250, Worcester, MA 01608.Metro-West (Framingham) Center: Women's Pavilion, 115 Lincoln Street, Third Floor, Framingham, MA 01702.Fall River Center: 484 Highland Avenue, Fall River, MA 02720.Mt. Auburn Center. (Center for Women at Mount Auburn Hospital).Nantuckett Center: Nantucket Cottage Hospital, 57 Prospect Street,Nantucket, MA 02554.Maine locations: Bangor, Portland, Scarborough and Lewiston.|http://www.bostonivf.com/locations/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=907&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
34|65109|Boulder Medical Center|2750 Broadway Boulder, CO 80304 USA|303-440-3000|Dr. Carole A. Christensen, OB/GYN|http://http://www.bouldermedicalcenter.com/index.php|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65109&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
35|309|Bourn Hall|Cambridge, GBR||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=309&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
36|74|BPAS, UK|London, GBR||British Pregnancy Advisory Service. Please list as much identifying information as possible, as donor numbers may not be enough. Also, visit http://www.ukdonorlink.org.uk/||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=74&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
37|187|Brigham and Women's Hospital, MA|75 Francis Street, Boston , MA 02115 USA|617-732-5500|BWH formed in 1980 with the unprecedented merger of three of Boston's oldest and most prestigious Harvard teaching hospitals: the Peter Bent Brigham Hospital, the Robert Breck Brigham Hospital, and the Boston Hospital for Women. Brigham and Women's Satellite Offices:Brigham and Women’s Hospital Center for Reproductive Medicineat South Shore Hospital,1032 Main Street,South Weymouth, MA 02190,phone 781-682-4564.Center for Reproductive Care at Exeter Hospital,Millbrook Office Park,118 Portsmouth Avenue Suite 102,Stratham, NH 03885,tel 603-773-6973.The North Shore Medical Center at Women’s Health Center of North Shore,One Hutchinson Drive,Danvers MA 01923,phone 978-739-6920.Partners Reproductive Medicine Center at Newton-Wellesley Hospital,2014 Washington St.,Newton, MA 02462,phone 617-243-5200.|http://www.brighamandwomens.org/reproductivemedicine/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=187&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
38|65519|Brook House|77 Pond Ave Brookline, MA 02445 USA|N/A|No longer exists|http://N/A|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65519&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
39|632|Brookdale Hospital|Brooklyn, NY USA||The doctor's name was Dr. Paul Beck.||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=632&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
40|443|Brookside Women's Medical Center|1902 S I H 35 Austin, TX 78704 USA|512-443-9595||http://www.brooksidewomensmedical.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=443&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
41|3|California Cryobank (CCB)|11915 La Grange Los Angeles, CA 90024 USA|800-231-3373|Facilities in CA and MA, also Nordic Cryobank (European Sperm Bank) in Denmark. CCB only has had anomymous donors from NCB/ESB. There is a list of CCB Nordic (Danish) donors with Nordic Cryobank donor name and/or CCB number in the Files section of the DSR Yahoo group, here: http://health.groups.yahoo.com/group/DonorSiblingRegistry/files/. These are donor numbers in the 7000's and 7100's. CCB was established in 1977, Nordic Cryobank/European Sperm Bank was established in 2004. Those people using the Nordic donors mentioned above, please post under Nordic Cryobank/European Sperm Bank, too, and also post the alias donor name if known.|http://www.cryobank.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=3&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
42|526|California Fertility Associates (Partners)|1245 16th Street Santa Monica, CA 90404 USA|310-828-4008|Doctors: Richard P. Marrs; Joyce M. Vargyas; Andrea L. Stein; Guy E. RinglerIn 1999, became: California Fertility Partners.  Doctors: Richard Marrs; Guy Ringler; Joyce Vargyas11818 Wilshire Blvd., Suite 300Los Angeles, CA 90025; 310-828-4008 (p); 310-828-3310 (f)|http://www.californiafertilitypartners.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=526&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
43|65110|California IVF, Davis Fertility Center, Inc.|1550 Drew Avenue Suite 100 Davis, CA CA 95518 USA|1(530)771-0177|Dr. Zeringue|http://www.californiaivf.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65110&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
44|161|Can-Am Cryo|1057 Main St. W. Hamilton, ON CAN|1-888-245-3471|Fairfax and CLI both supply sperm to Can-Am Cryo. July 6/2006- CAN-AM Cryoservices Corp. is pleased to announce the distribution of donor sperm from Cryogenic Laboratories Inc.(CLI) (www.cryolab.com) located in Roseville, MN. CLI was established in the early 1970s as the first private sperm bank in the US and is owned by Genetics & IVF Institute Family of Cryobanks, the owners of Fairfax Cryobank.  |http://www.canamcryo.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=161&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
45|732|Canberra Fertility Centre|Ste 9, Lvl 2 Clinical Services Building John James Health Campus Strickland Crs Deakin 2600 Canberra, 2600 AUS|61 (02) 6282 5458|This clinic imports sperm from Cryos International Sperm Bank in Denmark and Xytex in the US.|http://www.canberrafertilitycenter.com.au|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=732&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
46|190|Cape Fertility Clinic|Cape Fertility Clinic Suite 204 Newlands Surgical Clinic Pick n' Pay Building Main Road Claremont Cape Town, 7708 ZAF|+27 21 674-2088/1||http://www.capefertility-clinic.co.za/files/index.htm|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=190&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
47|719|CARE Fertility Clinics|GBR||Also see Cryogam Colorado list (in the U.S.). The CARE group of clinics (group of 10 fertility clinics in the UK) imported sperm from Cryogam Colorado from about mid 2006 for about a year, to be shared amongst the clinics. No donor numbers were given out, but the donor description is the same as Cryogam's. The CARE Clinics that do inseminations and IVF are: CARE Manchester, 108-112 Daisy Bank Road, Victoria Park, Manchester M14 5QH, CARE Northampton, 67 The Avenue,Cliftonville, Northampton NN1 5BT, CARE Nottingham, John Webster House, 6 Lawrence Drive, Nottingham Business Park,Nottingham, NG8 6PZ,  CARE Sheffield, 24-26 Glen Road,Sheffield S7 1RA.|http://www.carefertilityweb.co.uk/index.php|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=719&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
