|bankid|bankname|bankaddress|bankphone|bankdesc|bankurl|searchurl|dtype
10|65170|Arizona Reproductive Medicine Specialists|AZ USA||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65170&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
11|65228|ART Medica|, 201 ISL|5158100|||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65228&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
12|794|Asian Egg Donation|31 Cortland Drive East Brunswick, NJ 08816 USA|888-665-8868|Based in the East Coast, this agency matches Asian recipients to Asian donors.|http://www.asianeggdonation.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=794&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
13|65428|Astarte Medical Corp|450 Sutter Street, #2304 San Francisco, CA 94109 USA|415-773-3413|Dr. Alex Steinleither was the doctor||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65428&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
14|542|Atlanta Center for Reproductive Medicine|100 Stone Forest Drive Ste 300 Woodstock, GA 30189 USA|770-928-2276|Infertility specialists.|http://www.atlantainfertility.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=542&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
15|65430|ATLANTIC REPRODUCTIVE MEDICINE SPECIALISTS|10208 CERNY ST SUITE 306 RALEIGH, NC 27617 USA|919-248-8777||http://ATLANTICFERTILITY.COM|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65430&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
16|1205|AVA-Peter|Nevsky pr. 22-24, Saint-Petersburg, Russia, 191186 St.Petersburg, 191186 RUS|+7 812 600 7 812||http://www.avapeter.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=1205&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
17|399|AZ Ctr for Fert /AZ Fert Inst/AZ Sperm Bank|Phoenix, AZ USA|| Arizona Sperm Bank is a division of the Arizona Fertility Institute. 2720 N. 20th Street St. #220 Phoenix, AZ  85006  USA · Dr. Robert Tamis and others. Frann Mortimore - Director for AZ Sperm Bank||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=399&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
18|403|Barnes-Jewish (Washington Univ.)|One Barnes Jewish Hospital Plaza St. Louis, MO 63110 USA|314-747-3000|Division of Reproductive Endocrinology at Washington University School of Medicine|http://www.barnesjewish.org/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=403&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
19|642|Bellingham IVF (WA)|Bellingham, WA USA||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=642&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
20|176|Beth Israel Hospital|Brookline Avenue Boston, MA USA||Part of Harvard Medical School. Dr. Alberts and others ran a pilot program in donor insemination from approx. 1960 to the late 1970's.  This hospital merged and is now Beth Israel Deaconess Medical Center, but the merger was long after the death of Dr. Alberts. Also called Boston IVF. Boston IVF/Boston Fertility Lab has a separate listing on this registry, please check that list too. Boston IVF states more than 30,000 babies born since 1986.|http://www.bidmc.harvard.edu/display.asp?node_id=4964|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=176&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
21|694|Bethesda Center for Reproductive Health and Fertil|10506 Montgomery Road Cincinnati, OH 45242 USA|5137451675|||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=694&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
22|65069|Beverly Hills Egg Donation (BHED)|Beverly Hills, CA USA||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65069&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
23|6|Biogenetics|187 Mill Lane Mountainside, NJ 07092 USA|800-637-7776|also shows some places as in Irvington, NJ. Established in 1980. |http://www.sperm1.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=6&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
24|907|Boston IVF/Boston Fertility Lab|MA 02451 USA|888-300-BIVF (2483)|Affiliated with Harvard Medical School. Donor list is from Boston Fertility Lab. Also see listings under Beth Israel Hospital (on this registry, a separate list). Boston IVF's website states more than 30,000 babies born since 1986. Boston IVF has centers centers in Boston, Concord, Waltham, South Shore, Cambridge and Framingham. They also see patients in New Hampshire, Maine and on Nantucket.Toll free: 888-300-BIVF Waltham Center: 130 Second Ave., Waltham, MA 02451.Boston/Brookline Center: 1 Brookline Place, Suite 302, Boston, MA 02445.South Shore Center: 2300 Crown Colony Drive, Suite 104, Quincy, MA 02169.Concord Center: Emerson Hospital, 54 Baker Avenue Ext., Suite 302, Concord, MA 01742.Worcester Center: 123 Summer Street, Suite 250, Worcester, MA 01608.Metro-West (Framingham) Center: Women's Pavilion, 115 Lincoln Street, Third Floor, Framingham, MA 01702.Fall River Center: 484 Highland Avenue, Fall River, MA 02720.Mt. Auburn Center. (Center for Women at Mount Auburn Hospital).Nantuckett Center: Nantucket Cottage Hospital, 57 Prospect Street,Nantucket, MA 02554.Maine locations: Bangor, Portland, Scarborough and Lewiston.|http://www.bostonivf.com/locations/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=907&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
25|187|Brigham and Women's Hospital, MA|75 Francis Street, Boston , MA 02115 USA|617-732-5500|BWH formed in 1980 with the unprecedented merger of three of Boston's oldest and most prestigious Harvard teaching hospitals: the Peter Bent Brigham Hospital, the Robert Breck Brigham Hospital, and the Boston Hospital for Women. Brigham and Women's Satellite Offices:Brigham and Women’s Hospital Center for Reproductive Medicineat South Shore Hospital,1032 Main Street,South Weymouth, MA 02190,phone 781-682-4564.Center for Reproductive Care at Exeter Hospital,Millbrook Office Park,118 Portsmouth Avenue Suite 102,Stratham, NH 03885,tel 603-773-6973.The North Shore Medical Center at Women’s Health Center of North Shore,One Hutchinson Drive,Danvers MA 01923,phone 978-739-6920.Partners Reproductive Medicine Center at Newton-Wellesley Hospital,2014 Washington St.,Newton, MA 02462,phone 617-243-5200.|http://www.brighamandwomens.org/reproductivemedicine/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=187&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
26|526|California Fertility Associates (Partners)|1245 16th Street Santa Monica, CA 90404 USA|310-828-4008|Doctors: Richard P. Marrs; Joyce M. Vargyas; Andrea L. Stein; Guy E. RinglerIn 1999, became: California Fertility Partners.  Doctors: Richard Marrs; Guy Ringler; Joyce Vargyas11818 Wilshire Blvd., Suite 300Los Angeles, CA 90025; 310-828-4008 (p); 310-828-3310 (f)|http://www.californiafertilitypartners.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=526&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
27|65110|California IVF, Davis Fertility Center, Inc.|1550 Drew Avenue Suite 100 Davis, CA CA 95518 USA|1(530)771-0177|Dr. Zeringue|http://www.californiaivf.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65110&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
28|190|Cape Fertility Clinic|Cape Fertility Clinic Suite 204 Newlands Surgical Clinic Pick n' Pay Building Main Road Claremont Cape Town, 7708 ZAF|+27 21 674-2088/1||http://www.capefertility-clinic.co.za/files/index.htm|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=190&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
29|65192|Cardone & Associates Reproductive Medicine & Fertility|2 Main St #150 Stoneham, MA 02180 USA|(781) 438-9600|Associated with Boston IVF|http://http://www.cardonerepromed.com/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65192&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
30|716|Center for Advanced Reproductive Care|Redondo Beach, CA USA|8772737763|Now called Reproductive Partners Medical Group. Two clinics are listed, one in Redondo and one in Long Beach. Please post there.|http://2reproduce.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=716&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
31|108|Center for Assisted Reproduction (TX)|Bedford, TX USA||Dr.Doody|http://www.embryo.net|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=108&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
32|450|Center for Egg Options (CA)|840 Apollo Street, Suite 218 El Segundo, CA 90245 USA|310-726-9600||http://www.eggoption.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=450&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
33|1216|Center For Fertility & Gynecology|18370 Burbank Blvd. Suite 301 Tarzana, CA 91356 USA|1-818-881-9800|They claim to only keep records for seven years.||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=1216&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
34|847|Center for Human Reproduction - Illinois|2825 North Halsted Street Chicago, IL 60657 USA|||http://www.centerforhumanreprod.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=847&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
35|103|Center for Human Reproduction-NY (CHR)|21 E. 69th St. New York, NY 10021 USA|212-994-4400|"Also known as ""CHR"". Moved from 5th Ave. & 58th St."|http://WWW.CENTERFORHUMANREPROD.COM|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=103&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
36|65339|Center for Reproductive Health (TN)|2410 Patterson Street, Suite 401 Nashville, TN 37203 USA|615-321-8899|Dr. Jaime Vasquez|http://https://www.c4rh.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65339&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
37|1194|Center for Reproductive Medicine and Fertility|333 S Desplaines St, Suite 200 Chicago, IL 60661 USA|(773) 702-6642|Dr. David Cohen||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=1194&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
38|483|Center for Reproductive Medicine of New Mexico|201 Cedar SE Albuquerque, NM 87117 USA|505-247-3333||http://www.infertility-ivf.com/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=483&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
39|9|Center for Reproductive Medicine, MN|2800 Chicago Ave., South, Suite 300 Minneapolis, MN 55407 USA|612-863-5390|Abbott Northwestern Hospital, (Minneapolis, Minnesota). Some of these donor numbers are the same as the University of Utah's donor numbers (University of Utah and  this place had some sort of sharing agreement). Center for Reproductive Medicine also used CLI.|http://www.ivfminnesota.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=9&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
40|65477|Center for Reproductive Medicine, Mobile|3 Mobile Infirmary Circle Suite 213 Mobile , AL 36607 USA|251-438-4200|Dr. Koulianos and Dr. Inge|http://https://www.infertilityalabama.com/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65477&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
41|908|Center for Reproductive Medicine, Wichita|2903 E. Central Wichita, KS 67214 USA|316-687-2112|||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=908&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
42|917|Center for Women's Reproductive Care (Columbia)|1790 Broadway New York, NY 10019 USA|646 756 8282|Columbia University||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=917&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
43|129|Center of Reproductive Medicine, TX|450 Medical Center Blvd., #202 Webster, TX 78750 USA|281-332-0073||http://www.infertilitytexas.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=129&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
44|1271|Choices Donations|48 Taunton Street Lakeville, MA 02347-1205 USA|508-946-4802||http://www.choicesdonations.com/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=1271&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
45|432|Cleveland Clinic Foundation|Cleveland, OH USA||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=432&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
46|1163|Clinic Elite|Sangla 63 Tartu, 50407 EST|372 7409930||http://www.fert-c.ee/elite/eng|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=1163&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
47|1105|Clinica EUGIN Travessera|C/Travessera de les Corts 322/bajos Barcelona, 08029 ESP|0034 902076347||http://www.eugin.net|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=1105&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
48|781|CNY Fertility Center (NY)|Syracuse, Albany, and Rochester, NY USA||Central New York Fertility. Dr. Robert Kiltz, Dr. Michael Grossman, Dr. Stephen Cohen, Dr. Lana Cain. Syracuse location:195 Intrepid Lane, Syracuse, NY 13205.  800.539.9870 (toll free) or315.469.8700.Albany location: 38A Old Sparrowbush Road, Latham, NY 12110. 866.375.4589 (toll free) or518.690.0700.Rochester location:  2244 East Avenue, Rochester, NY 14610.585.244.1280.|http://cnyfertility.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=781&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
49|65317|Coastal Fertility|15500 Sand Canyon Ave, Suite 100 Irvine, CA 92618 USA|949-726-0600|||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65317&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
